Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
l'è bèl nòt che 'l padrù 'l durmìs,il padrone dorme,<sos> l'è bèl nòt che 'l padrù 'l durmìs <eos>,<sos> il padrone dorme <eos>
té te sé stàt crudèle con mé,tu sei stato crudele con me,<sos> té te sé stàt crudèle con mé <eos>,<sos> tu sei stato crudele con me <eos>
"mangià e tüt, l'à bütàt tüt per térà",ha buttato tutto per terra,"<sos> mangià e tüt , l'à bütàt tüt per térà <eos>",<sos> ha buttato tutto per terra <eos>
ciàpelå per i bràs,prendila per le braccia,<sos> ciàpelå per i bràs <eos>,<sos> prendila per le braccia <eos>
e 'l l'à portada de là,l'ha portata di là,<sos> e 'l l'à portada de là <eos>,<sos> l'ha portata di là <eos>
pòtå gliùra 'stå vólp tötå cuntétå l'à dìt:,allora la volpe tutta contenta ha pensato:,<sos> pòtå gliùra 'stå vólp tötå cuntétå l'à dìt <eos>,<sos> allora la volpe tutta contenta ha pensato <eos>
li s'è pustade söla capànnå,si sono messe sulla capanna,<sos> li s'è pustade söla capànnå <eos>,<sos> si sono messe sulla capanna <eos>
gh'ó de és là sö,devo essere già lassù,<sos> gh'ó de és là sö <eos>,<sos> devo essere già lassù <eos>
'l paha śó de lé,va da quella parte,<sos> 'l paha śó de lé <eos>,<sos> va da quella parte <eos>
e 'l ne pàså śgiü,ne passa uno,<sos> e 'l ne pàså śgiü <eos>,<sos> ne passa uno <eos>
l'è ri-àt,è arrivato,<sos> l'è ri-àt <eos>,<sos> è arrivato <eos>
lé la sa mèt dré a cüntài:,si mette a contarle:,<sos> lé la sa mèt dré a cüntài <eos>,<sos> si mette a contarle <eos>
"'ndaró sö 'n de 'sta montagnina, starò sögliò 'm pó","salirò su questa montagna, starò lassù per un po'","<sos> 'ndaró sö 'n de 'sta montagnina , starò sögliò 'm pó <eos>","<sos> salirò su questa montagna , starò lassù per un po' <eos>"
"'l l'a cargàt sö höl bròh, 'l l'à portàt a cà",e il padrone l'ha portato a casa,"<sos> 'l l'a cargàt sö höl bròh , 'l l'à portàt a cà <eos>",<sos> e il padrone l'ha portato a casa <eos>
i hólc e nóter —,i soldi a noi —,<sos> i hólc e nóter <eos>,<sos> i soldi a noi <eos>
ma difati lü 'l l'à mài davrìdå,infatti non l'ha mai aperta,<sos> ma difati lü 'l l'à mài davrìdå <eos>,<sos> infatti non l'ha mai aperta <eos>
perchè he de nò àrdå che i lader,perché no guarda che i ladri,<sos> perchè he de nò àrdå che i lader <eos>,<sos> perché no guarda che i ladri <eos>
dunque la ghe n'éå dói,dunque ne aveva due,<sos> dunque la ghe n'éå dói <eos>,<sos> dunque ne aveva due <eos>
ma tàt bèi e tàt bèi e tàt bèi,ma tanto belli tanto belli tanto belli,<sos> ma tàt bèi e tàt bèi e tàt bèi <eos>,<sos> ma tanto belli tanto belli tanto belli <eos>
— de 'ste bande ché,— da queste parti,<sos> de 'ste bande ché <eos>,<sos> da queste parti <eos>
edèh e 'ndà e cà i me èt tüc,— adesso ci vedono tutti andare a casa,<sos> edèh e 'ndà e cà i me èt tüc <eos>,<sos> adesso ci vedono tutti andare a casa <eos>
pòtå lü l'è haltàt gió per mangiàl,s'è buttato per sbranarlo,<sos> pòtå lü l'è haltàt gió per mangiàl <eos>,<sos> s'è buttato per sbranarlo <eos>
mórt de fàm!,morti di fame!,<sos> mórt de fàm ! <eos>,<sos> morti di fame ! <eos>
— hé e té arda chèl che t'é scri-ìt! — lé i à confrontàt le lètre,— e guarda quello che hai scritto tu — hanno confrontato le lettere,<sos> hé e té arda chèl che t'é scri-ìt ! lé i à confrontàt le lètre <eos>,<sos> e guarda quello che hai scritto tu hanno confrontato le lettere <eos>
lü 'l gh'à dìc essè: — hé hé — l'à dìt —,lui le ha detto: — sì,<sos> lü 'l gh'à dìc essè hé hé l'à dìt <eos>,<sos> lui le ha detto sì <eos>
'sto tùs l'érå mìå mórt,quel ragazzo non era morto,<sos> 'sto tùs l'érå mìå mórt <eos>,<sos> quel ragazzo non era morto <eos>
i à cüntàt sö la sò stória,hanno raccontato la loro,<sos> i à cüntàt sö la sò stória <eos>,<sos> hanno raccontato la loro <eos>
e i tacà-a miga,e i fiammiferi non si accendevano,<sos> e i tacà-a miga <eos>,<sos> e i fiammiferi non si accendevano <eos>
è 'ndài là,sono andati là,<sos> è 'ndài là <eos>,<sos> sono andati là <eos>
l'è 'ndàt e cà,va a casa,<sos> l'è 'ndàt e cà <eos>,<sos> va a casa <eos>
— eéh pòtå 'm và 'n sércå de fortünå,— in cerca di fortuna,<sos> eéh pòtå 'm và 'n sércå de fortünå <eos>,<sos> in cerca di fortuna <eos>
sótå la córdå dol campanù,sotto la corda del campanone,<sos> sótå la córdå dol campanù <eos>,<sos> sotto la corda del campanone <eos>
— ma éå — l'à dìt — ma mé hó famàt! — l'à dìt essè:,— ma io sono affamato! —,<sos> ma éå l'à dìt ma mé hó famàt ! l'à dìt essè <eos>,<sos> ma io sono affamato ! <eos>
'l s'è fàt dà i sólc,si è fatto dare i soldi,<sos> 'l s'è fàt dà i sólc <eos>,<sos> si è fatto dare i soldi <eos>
— ma he 'l se 'mpì-å mìå i hulfanèi,— se non si accendono i fiammiferi,<sos> ma he 'l se 'mpì-å mìå i hulfanèi <eos>,<sos> se non si accendono i fiammiferi <eos>
« ogliùrå che s' fài pò chè?,« allora che cosa si fa,<sos> ogliùrå che s' fài pò chè ? <eos>,<sos> allora che cosa si fa <eos>
tüc chi che gh'ìa i malàc,che aveva dei malati,<sos> tüc chi che gh'ìa i malàc <eos>,<sos> che aveva dei malati <eos>
l'à dìt che lü 'l gh'arés sémper üt edòs chèl incantéśem ilò,avrebbe sempre avuto quell'incantesimo,<sos> l'à dìt che lü 'l gh'arés sémper üt edòs chèl incantéśem ilò <eos>,<sos> avrebbe sempre avuto quell'incantesimo <eos>
e de lé,e di là,<sos> e de lé <eos>,<sos> e di là <eos>
gliùrå 'l gi à töi fò,allora li ha tolti,<sos> gliùrå 'l gi à töi fò <eos>,<sos> allora li ha tolti <eos>
e gliùrå 'l gh'à dàt negótå,e così suo padre non le aveva dato niente,<sos> e gliùrå 'l gh'à dàt negótå <eos>,<sos> e così suo padre non le aveva dato niente <eos>
e lośàm 'esto aśnì?,di alloggiarmi questo asinello?,<sos> e lośàm 'esto aśnì ? <eos>,<sos> di alloggiarmi questo asinello ? <eos>
"'m sarà epòst, i me metirà 'm preśù","siamo a posto, ci metterà in prigione","<sos> 'm sarà epòst , i me metirà 'm preśù <eos>","<sos> siamo a posto , ci metterà in prigione <eos>"
e pò i l'à a' ciapade a' hö,e la donna le ha anche prese,<sos> e pò i l'à a' ciapade a' hö <eos>,<sos> e la donna le ha anche prese <eos>
e pò i vuśà-a i fà-a finta che i ca-ài i vülìa mìa partì,e gridavano facevano finta che i cavalli non volessero più camminare,<sos> e pò i vuśà-a i fà-a finta che i ca-ài i vülìa mìa partì <eos>,<sos> e gridavano facevano finta che i cavalli non volessero più camminare <eos>
i prìm che 'à fò i lo ciaparà,chi va là per primo lo prenderà,<sos> i prìm che 'à fò i lo ciaparà <eos>,<sos> chi va là per primo lo prenderà <eos>
chèl che té t'é fàt,quello che tu hai fatto,<sos> chèl che té t'é fàt <eos>,<sos> quello che tu hai fatto <eos>
quàndo che éra dré per haltà dét,quando stavano per andare avanti,<sos> quàndo che éra dré per haltà dét <eos>,<sos> quando stavano per andare avanti <eos>
che arda he te la spuśèhet té,che se tu la sposassi,<sos> che arda he te la spuśèhet té <eos>,<sos> che se tu la sposassi <eos>
e flìmf,e flimf,<sos> e flìmf <eos>,<sos> e flimf <eos>
e üna óltå l'érå 'ndàt,un giorno il padre era andato,<sos> e üna óltå l'érå 'ndàt <eos>,<sos> un giorno il padre era andato <eos>
e pehade e pehade,a calcioni,<sos> e pehade e pehade <eos>,<sos> a calcioni <eos>
i è dré ch'i màia —,stanno mangiando —,<sos> i è dré ch'i màia <eos>,<sos> stanno mangiando <eos>
e la ghe cünta 'l fato e 'l gh'à dìt:,gli racconta il fatto e lui dice:,<sos> e la ghe cünta 'l fato e 'l gh'à dìt <eos>,<sos> gli racconta il fatto e lui dice <eos>
nèla hentüra,alla cintura,<sos> nèla hentüra <eos>,<sos> alla cintura <eos>
gh'ó che 'l formét che l'è marüt,ho il frumento maturo,<sos> gh'ó che 'l formét che l'è marüt <eos>,<sos> ho il frumento maturo <eos>
la śgi cünta,le conta,<sos> la śgi cünta <eos>,<sos> le conta <eos>
e lü l'indà-a töc i dé a pehcà,lui andava tutti i giorni a pescare,<sos> e lü l'indà-a töc i dé a pehcà <eos>,<sos> lui andava tutti i giorni a pescare <eos>
— nò,— no,<sos> nò <eos>,<sos> no <eos>
e la arda śó,e guarda giù,<sos> e la arda śó <eos>,<sos> e guarda giù <eos>
— nò — 'l dìs — ó ìst che te sé cristiànå —,"— no, ho visto che sei cristiana",<sos> nò 'l dìs ó ìst che te sé cristiànå <eos>,"<sos> no , ho visto che sei cristiana <eos>"
gna' piö ni-ént,né altro,<sos> gna' piö ni-ént <eos>,<sos> né altro <eos>
négrå,nera,<sos> négrå <eos>,<sos> nera <eos>
"i è 'ndàc, i s'è spuśàc",loro si sono sposati,"<sos> i è 'ndàc , i s'è spuśàc <eos>",<sos> loro si sono sposati <eos>
— mé ó ìst nigü,— io non ho visto nessuno,<sos> mé ó ìst nigü <eos>,<sos> io non ho visto nessuno <eos>
lü l'è 'ndàt en gió,è andato,<sos> lü l'è 'ndàt en gió <eos>,<sos> è andato <eos>
lü 'l gh'à dìt ala hò mama:,il re ha detto a sua madre:,<sos> lü 'l gh'à dìt ala hò mama <eos>,<sos> il re ha detto a sua madre <eos>
'sto tùs,quel ragazzo,<sos> 'sto tùs <eos>,<sos> quel ragazzo <eos>
'l gh'à amò la spàdå 'n di mà,aveva ancora la spada in mano,<sos> 'l gh'à amò la spàdå 'n di mà <eos>,<sos> aveva ancora la spada in mano <eos>
— vènto di tramontana,— vento di tramontana,<sos> vènto di tramontana <eos>,<sos> vento di tramontana <eos>
m'è mòrt töt!,ci è morto tutto,<sos> m'è mòrt töt ! <eos>,<sos> ci è morto tutto <eos>
'l sò marito,lui,<sos> 'l sò marito <eos>,<sos> lui <eos>
quàndo l'è 'gnìt matìnå,al mattino,<sos> quàndo l'è 'gnìt matìnå <eos>,<sos> al mattino <eos>
giü l'ó mangìàt mé,uno l'ho mangiato io,<sos> giü l'ó mangìàt mé <eos>,<sos> uno l'ho mangiato io <eos>
hèmper a scampala col làt de 'sta cèrva,sopravvivendo col latte della cerva,<sos> hèmper a scampala col làt de 'sta cèrva <eos>,<sos> sopravvivendo col latte della cerva <eos>
— tàches ala cù-a,— attaccati alla coda,<sos> tàches ala cù-a <eos>,<sos> attaccati alla coda <eos>
ché l' gh'è stàc vergü —,c'è stato qualcuno! —,<sos> ché l' gh'è stàc vergü <eos>,<sos> c'è stato qualcuno ! <eos>
— tè Piéro!,— Pietro,<sos> tè piéro ! <eos>,<sos> pietro <eos>
— a' ché 'l Rè-Serpènte l'è mìå pasàt,— il Re-Serpente qui non è passato,<sos> a' ché 'l rè-serpènte l'è mìå pasàt <eos>,<sos> il re-serpente qui non è passato <eos>
he lü l'à dispunìt issé,— se lei ha disposto così ,<sos> he lü l'à dispunìt issé <eos>,<sos> se lei ha disposto così <eos>
— scultém,— ascoltatemi,<sos> scultém <eos>,<sos> ascoltatemi <eos>
a meśanòt on punto,a mezzanotte in punto,<sos> a meśanòt on punto <eos>,<sos> a mezzanotte in punto <eos>
— avanti htèh che 'm vederà he 'l mónt l'è rotónt —,— avanti ugualmente che vedremo se il mondo è rotondo —,<sos> avanti htèh che 'm vederà he 'l mónt l'è rotónt <eos>,<sos> avanti ugualmente che vedremo se il mondo è rotondo <eos>
"ègne piö mé, perchè mé adès só straca śà",non vengo più perché sono stanca,"<sos> ègne piö mé , perchè mé adès só straca śà <eos>",<sos> non vengo più perché sono stanca <eos>
te é mandàc,li hai mandati,<sos> te é mandàc <eos>,<sos> li hai mandati <eos>
chi ma pórta śó,chi mi porterà,<sos> chi ma pórta śó <eos>,<sos> chi mi porterà <eos>
e tüte li sére,tutte le sere,<sos> e tüte li sére <eos>,<sos> tutte le sere <eos>
ala matina i lèa hö,al mattino si alzano,<sos> ala matina i lèa hö <eos>,<sos> al mattino si alzano <eos>
al pahà-a ö muntù de cròf,passava uno stormo di corvi,<sos> al pahà-a ö muntù de cròf <eos>,<sos> passava uno stormo di corvi <eos>
o di laùr ch'i tülìa sö,e altre cose che raccoglieva,<sos> o di laùr ch'i tülìa sö <eos>,<sos> e altre cose che raccoglieva <eos>
al gh'érå rincrehìt,è rincresciuto,<sos> al gh'érå rincrehìt <eos>,<sos> è rincresciuto <eos>
e 'l furmét,e il frumento,<sos> e 'l furmét <eos>,<sos> e il frumento <eos>
la troverài,la troverai,<sos> la troverài <eos>,<sos> la troverai <eos>
e l'è di-entàt,e è diventato,<sos> e l'è di-entàt <eos>,<sos> e è diventato <eos>
lé la gh'à cargàt sö i laùr,ha caricato la sua roba,<sos> lé la gh'à cargàt sö i laùr <eos>,<sos> ha caricato la sua roba <eos>
Gh'éra üna ólta,C'erano una volta,<sos> gh'éra üna ólta <eos>,<sos> c'erano una volta <eos>
e gliùrå,così,<sos> e gliùrå <eos>,<sos> così <eos>
— e alura perchè te hé hèmper rabbiùs?,— perché sei sempre arrabbiato?,<sos> e alura perchè te hé hèmper rabbiùs ? <eos>,<sos> perché sei sempre arrabbiato ? <eos>
e l'éra ferida 'n giöna ala,era ferita a un'ala,<sos> e l'éra ferida 'n giöna ala <eos>,<sos> era ferita a un'ala <eos>
l'érå mìå,non era del tutto,<sos> l'érå mìå <eos>,<sos> non era del tutto <eos>
e 'ndóm con nóter —,e venite con noi —,<sos> e 'ndóm con nóter <eos>,<sos> e venite con noi <eos>
e lü 'l gh'à respundìt amò:,e lui ha risposto ancora:,<sos> e lü 'l gh'à respundìt amò <eos>,<sos> e lui ha risposto ancora <eos>
e 'l gh'à a' ünå stàngå,ha una stanga,<sos> e 'l gh'à a' ünå stàngå <eos>,<sos> ha una stanga <eos>
ön'imperatrice —,imperatrice —,<sos> ön'imperatrice <eos>,<sos> imperatrice <eos>
l'à turnàt a fà la medéśima férå,ha fatto la stessa cosa,<sos> l'à turnàt a fà la medéśima férå <eos>,<sos> ha fatto la stessa cosa <eos>
'ssé i à fàc,così,<sos> 'ssé i à fàc <eos>,<sos> così <eos>
fà hö la halsìhå,per fare salsicce,<sos> fà hö la halsìhå <eos>,<sos> per fare salsicce <eos>
de dàgå a' chèl'ótrå càvrå,a dargli anche l'altra capra,<sos> de dàgå a' chèl'ótrå càvrå <eos>,<sos> a dargli anche l'altra capra <eos>
Barba-di-tórdo rè?,Barba-di-tordo re?,<sos> barba-di-tórdo rè ? <eos>,<sos> barba-di-tordo re ? <eos>
"l'à fàt ondré e inàs dói o tréi ólte, 'l gh'à bütat tüt in àriå","è andato avanti e indietro due o tre volte, le ha buttato tutto per aria","<sos> l'à fàt ondré e inàs dói o tréi ólte , 'l gh'à bütat tüt in àriå <eos>","<sos> è andato avanti e indietro due o tre volte , le ha buttato tutto per aria <eos>"
— dàm la pudètå de lénå! —,"— svelta, dammi la roncola! —",<sos> dàm la pudètå de lénå ! <eos>,"<sos> svelta , dammi la roncola ! <eos>"
i ciapà-å de sénå,a cena,<sos> i ciapà-å de sénå <eos>,<sos> a cena <eos>
— ah basta basta! —,"— ah, basta basta! —",<sos> ah basta basta ! <eos>,"<sos> ah , basta basta ! <eos>"
i laùr 'm pó bé nèh —,le cose un po' bene —,<sos> i laùr 'm pó bé nèh <eos>,<sos> le cose un po' bene <eos>
gh'è nahìt,sono nati,<sos> gh'è nahìt <eos>,<sos> sono nati <eos>
'l và déter lé e i sò s-cetì,lei e i suoi figli,<sos> 'l và déter lé e i sò s-cetì <eos>,<sos> lei e i suoi figli <eos>
tölå jó e pò 'mpì-elå che nóter,tirala giù e accendila,<sos> tölå jó e pò 'mpì-elå che nóter <eos>,<sos> tirala giù e accendila <eos>
e dòpo i h'è hpuśàc,e così loro si sono sposati,<sos> e dòpo i h'è hpuśàc <eos>,<sos> e così loro si sono sposati <eos>
mé ghe haró hèmper,io ci sarò sempre,<sos> mé ghe haró hèmper <eos>,<sos> io ci sarò sempre <eos>
l'à śgiràt,hanno girato,<sos> l'à śgiràt <eos>,<sos> hanno girato <eos>
ma che l'éra stàt riciamàt on guèrå,ma era stato richiamato in guerra,<sos> ma che l'éra stàt riciamàt on guèrå <eos>,<sos> ma era stato richiamato in guerra <eos>
he té te ga rì-et a netaga śó i peöc,se riuscirai a togliergli i pidocchi,<sos> he té te ga rì-et a netaga śó i peöc <eos>,<sos> se riuscirai a togliergli i pidocchi <eos>
chèla piantelina ca l'è già lé,quella pianticella,<sos> chèla piantelina ca l'è già lé <eos>,<sos> quella pianticella <eos>
pò l'è 'ndàt,poi è partito,<sos> pò l'è 'ndàt <eos>,<sos> poi è partito <eos>
apéna 'l lèt de dórme,solo il letto per dormire,<sos> apéna 'l lèt de dórme <eos>,<sos> solo il letto per dormire <eos>
ma lure i s'è rencurśide,però quelle si sono accorte di qualcosa,<sos> ma lure i s'è rencurśide <eos>,<sos> però quelle si sono accorte di qualcosa <eos>
l'è 'nàt fò a töga 'sto bicér de 'ì,è andato a prendergli un bicchiere di vino,<sos> l'è 'nàt fò a töga 'sto bicér de 'ì <eos>,<sos> è andato a prendergli un bicchiere di vino <eos>
la ś' l'à pò gudìdå dòpo!,anche lei dopo se l'è goduta!,<sos> la ś' l'à pò gudìdå dòpo ! <eos>,<sos> anche lei dopo se l'è goduta ! <eos>
ö dé la héå mìa che fà de mangià,un giorno non sapeva cosa fare da mangiare,<sos> ö dé la héå mìa che fà de mangià <eos>,<sos> un giorno non sapeva cosa fare da mangiare <eos>
pütòst de fà 'sta ìtå ché,— piuttosto di fare questa vita,<sos> pütòst de fà 'sta ìtå ché <eos>,<sos> piuttosto di fare questa vita <eos>
li e ha schiantà-a,si schiantavano,<sos> li e ha schiantà-a <eos>,<sos> si schiantavano <eos>
e la lücia,e piange,<sos> e la lücia <eos>,<sos> e piange <eos>
che ergóta 'l halterà fò —,qualcosa succederà —,<sos> che ergóta 'l halterà fò <eos>,<sos> qualcosa succederà <eos>
la matìnå ali sés la pìcå,al mattino alle sei la strega bussa:,<sos> la matìnå ali sés la pìcå <eos>,<sos> al mattino alle sei la strega bussa <eos>
però,però,<sos> però <eos>,<sos> però <eos>
ói,— voglio,<sos> ói <eos>,<sos> voglio <eos>
i à mangiàt,hanno mangiato,<sos> i à mangiàt <eos>,<sos> hanno mangiato <eos>
la tèrså óltå che la fà,la terza volta che dirà,<sos> la tèrså óltå che la fà <eos>,<sos> la terza volta che dirà <eos>
ma lùr però per chèl dé gliò è mìa 'ndàt dol rè,ma loro quel giorno non sono andati dal re,<sos> ma lùr però per chèl dé gliò è mìa 'ndàt dol rè <eos>,<sos> ma loro quel giorno non sono andati dal re <eos>
saparé pò se 'l ve par! —,zapperete voi se vi pare! —,<sos> saparé pò se 'l ve par ! <eos>,<sos> zapperete voi se vi pare ! <eos>
gliùrå 'l saltå fò e pò 'l vàrdå jó dol balcù,allora si alza e guarda dal balcone,<sos> gliùrå 'l saltå fò e pò 'l vàrdå jó dol balcù <eos>,<sos> allora si alza e guarda dal balcone <eos>
a dàgå de mangià ai pursèi,e a dar da mangiare ai maiali,<sos> a dàgå de mangià ai pursèi <eos>,<sos> e a dar da mangiare ai maiali <eos>
"l'è pahàt gió, l'è 'ndàt amò jó 'l sò cantù",è andato ancora nel suo cantuccio,"<sos> l'è pahàt gió , l'è 'ndàt amò jó 'l sò cantù <eos>",<sos> è andato ancora nel suo cantuccio <eos>
cóha gh'ala htahira chèla aca ché? —,— ma cos'ha questa sera la mucca? —,<sos> cóha gh'ala htahira chèla aca ché ? <eos>,<sos> ma cos'ha questa sera la mucca ? <eos>
« té canarì pàrlå » —,« canarino parla » —,<sos> té canarì pàrlå <eos>,<sos> canarino parla <eos>
"— nò nò nò nò, mé oi haì negóta","no, io non voglio saper niente","<sos> nò nò nò nò , mé oi haì negóta <eos>","<sos> no , io non voglio saper niente <eos>"
alura lé l'à 'nvi-àt sö 'l föch,allora ha acceso il fuoco,<sos> alura lé l'à 'nvi-àt sö 'l föch <eos>,<sos> allora ha acceso il fuoco <eos>
söi bànch dèlà céśå,sui banchi della chiesa,<sos> söi bànch dèlà céśå <eos>,<sos> sui banchi della chiesa <eos>
lé perchè la i ìa ès' töc,dato che lei li aveva visti tutti,<sos> lé perchè la i ìa ès' töc <eos>,<sos> dato che lei li aveva visti tutti <eos>
gh'érå dù àśegn,ne avevano due,<sos> gh'érå dù àśegn <eos>,<sos> ne avevano due <eos>
— tàches ala cù-a,— attaccati alla coda,<sos> tàches ala cù-a <eos>,<sos> attaccati alla coda <eos>
e pò a' i sólc,e anche i soldi,<sos> e pò a' i sólc <eos>,<sos> e anche i soldi <eos>
— stasérå turne mìå 'ndré!,— stasera non torno indietro!,<sos> stasérå turne mìå 'ndré ! <eos>,<sos> stasera non torno indietro ! <eos>
de lü,di lui,<sos> de lü <eos>,<sos> di lui <eos>
gliùra: « adèh próe la tèrsa ólta e pò turne 'ndré — 'l dìh — èh »,allora: « adesso provo per la terza volta e poi torno indietro »,<sos> gliùra adèh próe la tèrsa ólta e pò turne 'ndré 'l dìh èh <eos>,<sos> allora adesso provo per la terza volta e poi torno indietro <eos>
'm pó de pà,un po' di pane,<sos> 'm pó de pà <eos>,<sos> un po' di pane <eos>
e i vèt üna bèla tànå,scorgono una bella tana,<sos> e i vèt üna bèla tànå <eos>,<sos> scorgono una bella tana <eos>
"prìmå de 'ndà de déter on da capànnå, a deliberà la Bèlla-Pastóra",prima di entrare nella capanna per liberare la Bella-Pastora,"<sos> prìmå de 'ndà de déter on da capànnå , a deliberà la bèlla-pastóra <eos>",<sos> prima di entrare nella capanna per liberare la bella-pastora <eos>
la guadegnà-å pròpe a' bé,guadagnava bene,<sos> la guadegnà-å pròpe a' bé <eos>,<sos> guadagnava bene <eos>
nóter em vé e 'm ga hequèstra töt! —,vi sequestreremo tutto! —,<sos> nóter em vé e 'm ga hequèstra töt ! <eos>,<sos> vi sequestreremo tutto ! <eos>
— hé,— sì,<sos> hé <eos>,<sos> sì <eos>
la m'à stri-àt,mi ha stregato,<sos> la m'à stri-àt <eos>,<sos> mi ha stregato <eos>
dòpo la meśanòt,dopo la mezzanotte,<sos> dòpo la meśanòt <eos>,<sos> dopo la mezzanotte <eos>
alura la hò mama,allora la mamma,<sos> alura la hò mama <eos>,<sos> allora la mamma <eos>
vivi 'nsöma,vive,<sos> vivi 'nsöma <eos>,<sos> vive <eos>
— pòta — 'l dìs —,— pota — dice —,<sos> pòta 'l dìs <eos>,<sos> pota dice <eos>
'l fà-å pò hunà tüc ì campanèi,faceva suonare tutti i campanelli,<sos> 'l fà-å pò hunà tüc ì campanèi <eos>,<sos> faceva suonare tutti i campanelli <eos>
perchè non ò spośato,perché non ho sposato,<sos> perchè non ò spośato <eos>,<sos> perché non ho sposato <eos>
perché la m'è piaśida tròp tànt,perché mi è piaciuta troppo,<sos> perché la m'è piaśida tròp tànt <eos>,<sos> perché mi è piaciuta troppo <eos>
però me de-entèh öna papessa,se diventassi una papessa,<sos> però me de-entèh öna papessa <eos>,<sos> se diventassi una papessa <eos>
ol lüf l'à maiàt sö Śgioanì,e l'ha mangiato,<sos> ol lüf l'à maiàt sö śgioanì <eos>,<sos> e l'ha mangiato <eos>
l'aśnì,l'asinello,<sos> l'aśnì <eos>,<sos> l'asinello <eos>
i à bi-ìt,bevuto,<sos> i à bi-ìt <eos>,<sos> bevuto <eos>
— adès,— adesso,<sos> adès <eos>,<sos> adesso <eos>
pò l'è partìt,ed è partito,<sos> pò l'è partìt <eos>,<sos> ed è partito <eos>
chèla s-cèta lé,quella ragazza,<sos> chèla s-cèta lé <eos>,<sos> quella ragazza <eos>
te pö pensà!,immaginati!,<sos> te pö pensà ! <eos>,<sos> immaginati ! <eos>
he scàe mé te fü-jet e 'nvéce,se scavo io tu scappi,<sos> he scàe mé te fü-jet e 'nvéce <eos>,<sos> se scavo io tu scappi <eos>
alura,allora,<sos> alura <eos>,<sos> allora <eos>
la la mèt dét on dol bigaröl,poi messo nel grembiule,<sos> la la mèt dét on dol bigaröl <eos>,<sos> poi messo nel grembiule <eos>
öna fila!,una fila!,<sos> öna fila ! <eos>,<sos> una fila ! <eos>
gh'éra lé ö varśèl de acqua,e li han buttati,<sos> gh'éra lé ö varśèl de acqua <eos>,<sos> e li han buttati <eos>
e d'li disgras-ce —,delle disgrazie —,<sos> e d'li disgras-ce <eos>,<sos> delle disgrazie <eos>
perchè 'sta vólp la i éå pò halvàc de 'sto leù,perché lei li aveva salvati dal leone,<sos> perchè 'sta vólp la i éå pò halvàc de 'sto leù <eos>,<sos> perché lei li aveva salvati dal leone <eos>
cume mài? »,« come mai? »,<sos> cume mài ? <eos>,<sos> come mai ? <eos>
fà cóme te crèdet —,fa come credi,<sos> fà cóme te crèdet <eos>,<sos> fa come credi <eos>
"— ma nò, mài piö",— ma no,"<sos> ma nò , mài piö <eos>",<sos> ma no <eos>
